dataset,predictor,fold,train_size,test_size,intercept,coef,theta,auc
Seshat_eta_ratio_w100,eta_ratio,1,16,5,-0.7402427819868763,0.3182730505493251,2.3258104344972037,1.0
Seshat_eta_ratio_w100,eta_ratio,2,17,4,-0.9760823368651997,1.1228099283427337,0.8693210776163124,0.0
Seshat_eta_ratio_w100,eta_ratio,3,17,4,-0.5361280950549169,0.2626575858244674,2.0411673752807897,1.0
Seshat_eta_ratio_w100,eta_ratio,4,17,4,-0.8639988512083662,0.47767045295420657,1.8087759999909314,0.625
Seshat_eta_ratio_w100,eta_ratio,5,17,4,-0.722185847327452,0.20412349784555653,3.5379848716577973,1.0
SPC1_w100,SPC1,1,81,21,-1.905437470498543,0.36429965273910575,5.230412535866806,0.7244897959183674
SPC1_w100,SPC1,2,81,21,-2.2965034274908236,0.4704115250021541,4.881902983733886,0.6326530612244898
SPC1_w100,SPC1,3,82,20,-2.253990379023595,0.4852853936663719,4.644669731339961,0.5059523809523809
SPC1_w100,SPC1,4,82,20,-2.2774269545610015,0.45332207955732445,5.023860644036889,0.5879120879120879
SPC1_w100,SPC1,5,82,20,-1.809604205034355,0.32808366062673583,5.515679145915043,0.7472527472527472
